PlayerID,Name,Team,Position,Games
20001661,Ben Simmons,PHI,PG,0
20001666,Jamal Murray,DEN,PG,82
20001667,Thon Maker,MIL,C,57
20001668,Davis Bertans,SA,SF,67
20001669,Dragan Bender,PHO,PF,43
20001670,Kris Dunn,MIN,PG,78
20001671,Brandon Ingram,LAL,SF,79
20001672,Jaylen Brown,BOS,SG,78
20001673,Buddy Hield,SAC,SG,82
20001674,Marquese Chriss,PHO,PF,82
20001675,Skal Labissiere,SAC,PF,33
20001676,Stephen Zimmerman,ORL,C,19
20001677,Wade Baldwin,MEM,PG,33
20001678,Malik Beasley,DEN,SG,22
20001679,Dejounte Murray,SA,PG,39
20001680,Taurean Prince,ATL,SF,59
20001681,Henry Ellenson,DET,PF,19
20001682,Patrick Mccaw,GS,SG,71
20001683,Domantas Sabonis,OKC,C,81
20001684,Tyler Ulis,PHO,PG,61
20001685,Deyonta Davis,MEM,C,36
20001686,Diamond Stone,LAC,C,7
20001687,Jakob Poeltl,TOR,C,54
20001688,Kay Felder,CLE,PG,42
20001689,Damian Jones,GS,C,10
20001690,Deandre Bembry,ATL,SF,38
20001691,Demetrius Jackson,BOS,PG,5
20001692,Timothe Luwawu,PHI,SG,69
20001693,Denzel Valentine,CHI,SF,31
20001694,Ivica Zubac,LAL,C,38
20001696,Brice Johnson,LAC,PF,3
20001697,Juan Hernangomez,DEN,PF,62
20001698,Cheick Diallo,NO,PF,18
20001699,Malachi Richardson,SAC,SG,22
20001700,Joel Bolomboy,UTA,PF,12
20001701,Malcolm Brogdon,MIL,PG,75
20001702,Ben Bentil,DAL,PF,3
20001703,Isaiah Whitehead,BKN,SG,73
20001705,Michael Gbinije,DET,SG,9
20001706,Jake Layman,POR,SF,35
20001707,Caris Levert,BKN,SG,57
20001708,Georges Niang,IND,SF,23
20001710,Pascal Siakam,TOR,PF,55
20001711,Chinanu Onuaku,HOU,C,5
20001712,Georgios Papagiannis,SAC,C,22
20001713,A.j. Hammons,DAL,C,23
20001714,Paul Zipser,CHI,SF,44
20001729,Ron Baker,NY,SG,52
20001730,Gary Payton,MIL,PG,6
20001731,Kyle Wiltjer,HOU,PF,14
20001732,Yogi Ferrell,DAL,PG,46
20001733,Fred Vanvleet,TOR,PG,37
20001735,Patricio Garino,ORL,SG,5
20001737,Isaiah Taylor,HOU,PG,4
20001738,Sheldon Mcclellan,WAS,SG,30
20001741,Shawn Long,PHI,PF,17
20001744,Marshall Plumlee,NY,C,21
20001747,Danuel House,WAS,SF,1
20001749,Tomas Satoransky,WAS,SF,57
20001750,Malcolm Delaney,ATL,PG,73
20001751,Mindaugas Kuzminskas,NY,PF,68
20001755,Daniel Ochefu,WAS,PF,19
20001756,Nicolas Brussino,DAL,SF,54
20001757,Dorian Finney-smith,DAL,SF,81
20001759,Jonathan Gibson,DAL,PG,17
20001760,Bryn Forbes,SA,SG,36
20001761,Okaro White,MIA,PF,35
20001762,Wayne Selden,MEM,SG,14
20001763,Alex Abrines,OKC,SG,68
20001767,Jarrod Uthoff,DAL,SF,9
20001768,Troy Williams,HOU,SF,31
20001770,Mike Tobey,CHA,C,2
20001771,Tim Quarterman,POR,SG,16
20001775,Chasson Randle,NY,PG,26
20001779,Alex Poythress,PHI,SF,6
20001780,Semaj Christon,OKC,PG,65
20001782,Marcus Georges-hunt,ORL,SG,5
20001786,Nicolas Laprovittola,SA,PG,18
20001796,Derrick Jones,PHO,SF,32
20001809,Mark Baker,PHO,,2
20001820,David Nwaba,LAL,PG,20
