PlayerID_x,Name,Team,Position,Games,Income,Points,Rebounds,Assists,BlockedShots,Steals
20000670,Spencer Hawes,MIL,PF,54,6348759,337,191,81,30,15
20000654,Marco Belinelli,CHA,SG,74,6333333,780,178,147,9,44
20000562,Jae Crowder,BOS,PF,72,6286408,999,419,155,23,72
20000697,Tarik Black,LAL,PF,67,6191000,383,343,39,44,28
20000460,Patrick Patterson,TOR,PF,65,6050000,445,291,76,23,41
20000795,Andrew Wiggins,MIN,SF,82,6006600,1933,328,190,30,82
20000554,Patrick Beverley,HOU,PG,67,6000000,639,396,281,25,98
20000712,Wayne Ellington,MIA,SG,62,6000000,648,132,70,5,36
20000445,Ramon Sessions,CHA,PG,50,6000000,312,73,129,3,24
20000901,Ish Smith,DET,PG,81,6000000,758,233,419,33,61
20001763,Alex Abrines,OKC,SG,68,5994764,406,85,40,9,37
20001431,Karl-Anthony Towns,MIN,C,82,5960160,2061,1007,220,103,58
20000488,Shaun Livingston,GS,PG,76,5782450,389,153,140,21,37
20000520,Nikola Mirotic,CHI,PF,70,5782450,744,383,75,56,53
20000916,Tyler Johnson,MIA,SG,73,5628000,1002,292,233,44,84
20000636,Tony Allen,MEM,SG,71,5505618,643,391,98,29,114
20000715,Nick Young,LAL,SG,60,5443918,791,137,58,14,37
20000511,Jabari Parker,MIL,PF,51,5374320,1025,314,142,22,51
20001458,D'Angelo Russell,LAL,PG,63,5332800,984,223,302,16,88
20000754,Cody Zeller,CHA,C,62,5318313,639,405,99,61,58
20001671,Brandon Ingram,LAL,SF,79,5281680,740,317,166,36,50
20000604,Kyle Korver,CLE,SG,67,5239437,678,186,110,21,33
20000863,Darren Collison,SAC,PG,68,5229454,900,154,311,9,68
20000912,Langston Galloway,SAC,SG,75,5200000,585,158,94,6,46
20000739,C.J. Watson,ORL,PG,62,5000000,281,89,115,2,43
20000790,Jason Smith,WAS,PF,74,5000000,420,258,37,54,21
20000812,Brandon Jennings,WAS,PG,81,5000000,577,195,394,5,71
20000563,Jonas Jerebko,BOS,PF,78,5000000,299,271,72,17,26
20000726,Joel Embiid,PHI,C,31,4826160,627,242,66,76,27
20000852,Alex Len,PHO,C,77,4823621,613,508,44,99,36
