Rank,PlayerID,Name,Team,Position,Games,Points,Rebounds,Assists,BlockedShots,Steals,FieldGoalsPercentage,FreeThrowsPercentage,ThreePointersPercentage,FreeThrowsMade,TwoPointersMade,ThreePointersMade,Turnovers,Minutes,DoubleDoubles,TripleDoubles,FantasyPoints
59,20000676,Tobias Harris,DET,SF,82,1321,416,141,40,60,48,84.1,34.6,190,402,109,93,2566,3,0,2138.7
60,20000710,Julius Randle,LAL,PF,74,975,635,264,37,49,48.7,72.3,27,204,360,17,173,2132,18,3,2132
61,20000800,Gorgui Dieng,MIN,C,82,816,646,159,96,88,50.3,81.4,38.1,136,316,16,108,2653,12,0,2089.7
62,20000459,Lou Williams,HOU,SG,81,1419,203,239,20,80,42.8,88,36.6,402,264,163,160,1993,0,0,2061.1
63,20000455,Jonas Valanciunas,TOR,C,80,959,761,57,64,38,55.7,81.1,50,176,390,1,106,2065,29,0,2055.7
64,20000541,Trevor Ariza,HOU,SF,80,935,458,175,20,147,40.9,73.8,34.3,93,136,190,74,2772,3,0,2007.1
65,20000464,James Johnson,MIA,PF,76,975,377,276,85,76,47.9,70.7,34.1,152,281,87,172,2084,4,0,1991.4
66,20000818,Greg Monroe,MIL,C,81,951,533,186,38,90,53.3,74.1,0,177,387,0,140,1822,13,0,1985.6
67,20000848,Markieff Morris,WAS,PF,76,1063,493,126,44,82,45.7,83.7,36.2,180,335,71,129,2374,9,0,1966.6
68,20000875,Steven Adams,OKC,C,80,905,612,86,79,87,57.2,61.1,0,157,374,0,147,2389,16,0,1953.4
69,20000824,Wilson Chandler,DEN,SF,71,1117,460,142,32,52,46.1,72.7,33.7,141,323,110,113,2196,9,0,1937
70,20000631,Zach Randolph,MEM,PF,73,1028,598,122,10,38,44.9,73.1,22.3,141,412,21,99,1786,20,0,1925.6
71,20001597,Dario Saric,PHI,PF,81,1038,512,182,30,59,41.1,78,31.1,170,275,106,184,2129,10,0,1919.4
72,20000498,Ersan Ilyasova,ATL,PF,82,1073,483,138,24,59,43.2,78,35.3,163,242,142,116,2142,11,0,1909.6
73,20000560,Marcus Smart,BOS,PG,79,835,307,364,33,125,36,81.2,28.4,203,175,94,159,2400,2,0,1906.4
74,20000772,Dwyane Wade,CHI,SG,60,1096,271,228,41,85,43.4,79.4,31,223,369,45,138,1792,2,0,1877.2
75,20000916,Tyler Johnson,MIA,SG,73,1002,292,233,44,84,43.4,76.8,37.3,195,264,93,91,2177,0,0,1866.9
76,20000847,Marcus Morris,DET,PF,79,1105,369,160,25,52,41.8,78.4,33.1,145,303,118,87,2565,5,0,1854.8
77,20000681,Aaron Gordon,ORL,PF,80,1019,405,150,40,65,45.5,71.9,28.8,156,316,77,90,2297,7,0,1850
78,20000708,Jordan Clarkson,LAL,PG,82,1205,245,213,8,89,44.6,79.8,32.9,134,360,117,164,2396,0,0,1848.5
79,20000516,Derrick Rose,NY,PG,64,1154,245,283,17,44,47.1,87.4,21.7,221,447,13,147,2081,2,0,1847.5
