Rank,PlayerID,Name,Team,Position,Games,Points,Rebounds,Assists,BlockedShots,Steals,FieldGoalsPercentage,FreeThrowsPercentage,ThreePointersPercentage,FreeThrowsMade,TwoPointersMade,ThreePointersMade,Turnovers,Minutes,DoubleDoubles,TripleDoubles,FantasyPoints
201,20001400,Josh Richardson,MIA,SF,53,539,168,139,40,61,39.5,77.9,33.2,60,127,75,65,1614,0,0,1086.1
202,20000653,Manu Ginobili,SA,SG,69,517,157,183,16,82,39,80.4,39.2,86,82,89,96,1291,0,0,1079.9
203,20001703,Isaiah Whitehead,BKN,SG,73,543,181,192,36,43,40.2,80.5,29.7,91,160,44,143,1643,1,0,1063.2
204,20001623,Rodney Mcgruder,MIA,SG,78,497,256,125,18,45,41.4,62,33.3,44,117,73,57,1965,0,0,1060.7
205,20000716,Nerlens Noel,DAL,C,51,445,295,50,50,64,59.4,69.4,0,77,184,0,51,1044,3,0,1051
206,20000813,D.J. Augustin,ORL,PG,78,616,117,210,1,31,37.7,81.4,34.7,131,100,95,90,1538,0,0,1045.4
207,20000632,Jeff Green,ORL,SF,69,638,211,80,15,38,39.4,86.3,27.5,145,167,53,75,1533,1,0,1042.2
208,20001446,Sam Dekker,HOU,SF,77,504,283,76,22,38,47.3,55.9,32.1,38,143,60,41,1419,0,0,1036.6
209,20000834,Derrick Favors,UTA,PF,50,476,303,56,40,44,48.7,61.5,30,67,200,3,60,1185,6,0,1031.6
210,20001416,Norman Powell,TOR,SF,76,636,167,82,14,50,44.8,79.2,32.4,126,171,56,70,1367,0,0,1017.4
211,20001391,Jahlil Okafor,PHI,C,50,590,240,58,49,19,51.5,67.1,0,106,242,0,91,1133,2,0,1010
212,20001683,Domantas Sabonis,OKC,C,81,479,287,82,33,39,39.9,65.7,32.1,44,141,51,83,1631,2,0,1007.4
213,20000502,John Henson,MIL,PF,58,392,295,57,81,30,51.3,69.2,0,74,159,0,53,1122,0,0,1000.5
214,20000460,Patrick Patterson,TOR,PF,65,445,291,76,23,41,40.1,71.7,37.2,43,60,94,38,1598,1,0,998.2
215,20001452,Justin Anderson,PHI,SG,75,532,247,66,23,42,42.7,79.1,30.1,102,128,58,66,1227,1,0,991.4
216,20000750,Al Jefferson,IND,C,66,535,279,57,17,17,49.9,76.5,0,65,235,0,33,930,1,0,990.3
217,20000704,Jeremy Lin,BKN,PG,36,523,135,184,15,41,43.8,81.6,37.2,115,117,58,86,882,3,0,987
218,20001393,Kelly Oubre Jr.,WAS,SF,79,501,262,47,18,56,42,75.8,28.7,75,132,54,49,1605,1,0,984.9
219,20000860,Rudy Gay,SAC,SF,30,562,190,83,26,45,45.5,85.5,37.2,118,159,42,74,1012,4,0,982.5
220,20000770,Luol Deng,LAL,SF,57,425,294,74,20,48,38.6,73,31.1,46,113,51,43,1487,5,0,981.8
221,20000912,Langston Galloway,SAC,SG,75,585,158,94,6,46,37.9,79.7,38.8,51,87,120,46,1495,0,0,973.6
222,20000816,Spencer Dinwiddie,BKN,PG,59,432,163,185,23,44,44.4,79.2,37.6,126,96,38,66,1333,0,0,973.1
223,20000712,Wayne Ellington,MIA,SG,62,648,132,70,5,36,41.6,86,37.8,37,82,149,29,1499,0,0,964.4
224,20001447,Montrezl Harrell,HOU,PF,58,527,217,64,42,20,65.2,62.8,14.3,76,224,1,44,1063,3,0,963.4
225,20001444,Andrew Harrison,MEM,SG,72,425,137,198,22,54,32.5,76.3,27.6,148,74,43,85,1473,0,0,953.4
226,20000613,Mike Muscala,ATL,PF,70,435,239,95,43,29,50.4,76.6,41.8,49,124,46,56,1239,0,0,952.3
227,20000514,Joakim Noah,NY,C,46,232,402,103,37,30,49,43.6,0,34,99,0,58,1014,5,0,944.9
228,20000779,Justin Hamilton,BKN,C,64,442,261,55,43,30,45.9,75,30.6,39,119,55,43,1176,1,0,940.7
229,20000697,Tarik Black,LAL,PF,67,383,343,39,44,28,51.2,75.2,50,82,149,1,58,1090,2,0,939.1
230,20001413,Terry Rozier,BOS,PG,74,410,227,130,9,45,36.7,77.3,31.8,51,94,57,47,1263,1,0,938.4
231,20000725,Luc Richard Mbah a Moute,LAC,PF,80,484,172,39,35,81,50.5,67.8,39.1,59,148,43,47,1787,0,0,933.9
232,20001451,Jonathon Simmons,SA,SF,78,483,160,126,25,47,42,75,29.4,99,147,30,76,1392,0,0,932
233,20000727,Jerami Grant,OKC,SF,80,437,205,46,77,34,46.3,61.2,37.1,90,109,43,44,1531,0,0,930
234,20001684,Tyler Ulis,PHO,PG,61,444,97,226,5,48,42,77.5,26.6,55,163,21,77,1122,6,0,928.4
235,20000476,Dante Cunningham,NO,SF,66,435,279,36,28,38,48.5,59.3,39.2,16,103,71,28,1648,0,0,927.8
236,20000505,Jared Dudley,PHO,SF,64,434,223,121,16,42,45.4,66.2,37.9,43,80,77,72,1362,0,0,927.1
237,20000828,JaVale McGee,GS,C,77,472,243,17,67,20,65.2,50.5,0,56,208,0,40,739,0,0,923.1
238,20001672,Jaylen Brown,BOS,SG,78,515,221,64,18,36,45.3,68.5,34.1,85,146,46,68,1344,0,0,916.2
239,20001707,Caris Levert,BKN,SG,57,468,187,110,7,50,45,72,32.2,67,112,59,59,1236,0,0,912.4
240,20001670,Kris Dunn,MIN,PG,78,293,165,188,36,78,37.7,61,28.8,36,97,21,89,1333,1,0,912
241,20001022,Willie Reed,MIA,C,71,374,334,26,48,17,56.8,55.7,20,49,161,1,32,1030,4,0,911.8
242,20000854,Anthony Tolliver,SAC,PF,65,461,236,77,20,33,44.2,74.4,39.3,61,65,90,56,1476,1,0,909.7
243,20000776,James Ennis,MEM,SF,64,429,261,64,19,46,45.5,78.2,37.2,86,95,51,59,1500,1,0,909.2
244,20000745,Brandon Knight,PHO,PG,54,595,120,129,5,27,39.9,85.7,32.4,132,164,45,88,1138,0,0,908.5
245,20000522,Doug McDermott,OKC,SF,66,592,180,59,5,13,44.6,84.5,36.8,71,145,77,38,1507,1,0,894.5
246,20000762,Noah Vonleh,POR,PF,74,327,388,31,27,31,48.1,63.8,35,60,123,7,65,1265,4,0,890.1
247,20001732,Yogi Ferrell,DAL,PG,46,462,110,173,9,44,40.6,83.1,38.4,74,92,68,70,1197,0,0,889.5
248,20000928,Michael Beasley,MIL,SF,56,528,194,53,28,29,53.3,74.3,41.9,78,198,18,66,934,1,0,888.3
249,20000740,David West,GS,PF,68,316,202,152,47,42,53.6,76.8,37.5,43,132,3,79,854,0,0,885.4
250,20000790,Jason Smith,WAS,PF,74,420,258,37,54,21,52.7,68.6,47.4,35,137,37,58,1067,0,0,877.1
251,20001429,Nemanja Bjelica,MIN,PF,65,403,245,79,20,40,42.4,73.8,31.6,45,95,56,59,1189,4,0,876.5
252,20000806,Glenn Robinson III,IND,SG,69,420,246,47,21,42,46.7,71.1,39.7,54,108,50,37,1426,3,0,874.7
253,20000652,Aron Baynes,DET,C,75,365,333,32,39,17,51.3,84,0,79,143,0,50,1162,2,0,874.6
254,20001420,Bobby Portis,CHI,PF,64,437,293,35,11,16,48.8,66.1,33.3,39,151,32,37,999,5,0,858.1
255,20001433,Trey Lyles,UTA,PF,72,440,234,69,20,26,36.2,72.2,31.9,57,94,65,64,1158,1,0,852.3
256,20000843,Ian Clark,GS,SG,77,527,122,90,8,39,48.7,75.9,37.4,44,150,61,56,1136,0,0,846.4
257,20000467,Lucas Nogueira,TOR,C,57,253,243,42,90,50,66,65.7,25,44,100,3,46,1088,0,0,841.6
258,20000488,Shaun Livingston,GS,PG,76,389,153,140,21,37,55.1,70,50,42,172,1,61,1344,0,0,837.6
259,20000621,Meyers Leonard,POR,C,74,401,236,71,28,13,38.6,87.5,34.7,35,72,74,36,1221,1,0,836.7
260,20000534,Devin Harris,DAL,PG,65,437,127,136,6,43,40,82.9,33,107,78,58,57,1087,0,0,834.4
261,20001757,Dorian Finney-smith,DAL,SF,81,350,223,67,24,52,37.1,75.4,29.3,46,68,56,45,1641,0,0,825.1
262,20000535,Richard Jefferson,CLE,SF,79,448,201,77,9,27,44.6,74.1,33.3,80,91,62,53,1613,1,0,823.7
263,20000547,Corey Brewer,LAL,SF,82,371,166,97,19,62,42.2,73.5,22.9,50,120,27,55,1281,0,0,822.7
264,20001750,Malcolm Delaney,ATL,PG,73,391,126,194,1,39,37.5,80.6,23.9,75,119,26,94,1247,0,0,819.2
265,20001645,Alan Williams,PHO,PF,47,346,290,23,34,28,51.7,62.5,0,70,138,0,38,707,15,0,814.5
266,20000610,Shelvin Mack,UTA,PG,55,430,126,154,3,43,44.6,68.8,30.8,53,133,37,90,1205,0,0,814.2
267,20001427,Stanley Johnson,DET,SF,77,339,189,104,24,56,35.3,67.9,29.2,36,84,45,71,1370,0,0,810.8
268,20000573,Timofey Mozgov,LAL,C,54,401,266,43,32,16,51.5,80.8,0,63,169,0,72,1103,1,0,808.7
269,20001419,Cristiano Da Silva Felicio,CHI,C,66,316,310,40,18,25,57.7,64.5,0,60,128,0,33,1040,3,0,801
270,20000628,Arron Afflalo,SAC,SG,61,515,125,78,7,23,44,89.2,41.1,83,123,62,42,1579,0,0,800
271,20000472,Tyreke Evans,SAC,SG,40,411,136,125,9,35,40.5,75,35.6,69,108,42,61,788,0,0,788.7
272,20000922,Joffrey Lauvergne,CHI,C,70,375,250,70,6,25,44.2,63,33.7,46,115,33,55,980,0,0,787
273,20000563,Jonas Jerebko,BOS,PF,78,299,271,72,17,26,43.5,70.3,34.6,26,69,45,39,1231,0,0,779.2
274,20000826,Randy Foye,BKN,SG,69,357,155,135,9,35,36.3,85.7,33,54,51,67,80,1284,0,0,753.5
275,20001404,Jerian Grant,CHI,PG,63,370,111,121,8,48,42.5,89,36.6,65,79,49,44,1028,1,0,752.7
276,20001477,Salah Mejri,DAL,C,73,213,309,13,62,32,64.2,59,33.3,36,87,1,40,905,1,0,751.3
277,20000500,Khris Middleton,MIL,SF,29,426,122,98,7,41,45,88,43.3,81,105,45,65,889,1,0,750.4
278,20000651,Boris Diaw,UTA,C,73,338,158,170,9,18,44.6,74.3,24.7,26,126,20,87,1282,0,0,749.6
279,20000659,Kyle Anderson,SA,SF,72,246,209,91,26,51,44.5,78.9,37.5,45,78,15,39,1020,0,0,748.3
280,20001692,Timothe Luwawu,PHI,SG,69,445,149,74,10,32,40.3,85.4,31.1,105,95,50,74,1189,0,0,744.8
281,20000698,Troy Daniels,MEM,SG,67,551,99,46,3,20,37.4,79.6,38.9,43,47,138,45,1183,0,0,739.8
282,20000531,J.J. Barea,DAL,PG,35,381,83,193,1,14,41.4,86.3,35.8,44,89,53,63,770,0,0,737.1
283,20000864,Ben McLemore,SAC,SG,61,495,128,51,6,29,43,75.3,38.5,70,115,65,63,1176,0,0,732.1
284,20000600,Mirza Teletovic,MIL,PF,70,451,161,48,13,12,37.3,77.8,34.1,35,52,104,37,1133,0,0,729.2
285,20000670,Spencer Hawes,MIL,PF,54,337,191,81,30,15,48.4,84.6,30.9,44,109,25,49,797,3,0,728.7
286,20000841,Dante Exum,UTA,PG,66,412,134,110,12,22,42.6,79.5,29.5,58,111,44,80,1227,0,0,725.8
287,20001751,Mindaugas Kuzminskas,NY,PF,68,425,126,69,11,30,42.9,80.9,32.1,55,104,54,51,1016,0,0,710.7
288,20000501,Michael Carter-Williams,CHI,PG,45,297,152,113,24,38,36.6,75.3,23.4,58,97,15,66,846,0,0,706.9
289,20000584,Joe Harris,BKN,SG,52,428,147,54,8,30,42.5,71.4,38.5,35,69,85,55,1138,0,0,706.4
290,20000489,Leandro Barbosa,PHO,SG,67,419,106,81,8,31,43.8,88.9,35.7,40,137,35,48,964,0,0,697.7
291,20001680,Taurean Prince,ATL,SF,59,335,156,53,27,44,39.9,78.7,32.4,74,81,33,62,981,0,0,681.7
292,20000545,Jason Terry,MIL,SG,74,307,107,99,20,44,43.2,82.8,42.7,24,32,73,36,1365,0,0,675.9
293,20000575,J.R. Smith,CLE,SG,41,351,113,61,11,41,34.6,66.7,35.1,10,28,95,26,1187,0,0,656.1
294,20001763,Alex Abrines,OKC,SG,68,406,85,40,9,37,39.3,89.8,38.1,44,40,94,33,1055,0,0,627
295,20001697,Juan Hernangomez,DEN,PF,62,305,186,29,14,29,45.3,75,41.4,57,55,46,31,841,1,0,626.7
296,20001403,Mario Hezonja,ORL,SG,65,317,147,62,14,29,35.5,80,29.9,40,74,43,58,960,0,0,614.4
297,20000739,C.J. Watson,ORL,PG,62,281,89,115,2,43,38.7,86.4,30.5,57,64,32,47,1012,0,0,603.3
298,20000445,Ramon Sessions,CHA,PG,50,312,73,129,3,24,38,77.1,33.9,91,79,21,46,810,0,0,601.1
299,20000518,Aaron Brooks,IND,PG,65,322,69,125,9,25,40.3,80,37.5,32,73,48,65,893,0,0,595.3
300,20000449,Kris Humphries,ATL,PF,56,257,205,29,21,15,40.7,78,35.2,64,68,19,28,688,0,0,590.5
