Player_name,Income
Bobby Portis,1453680
Demetrius Jackson,1450000
Malachi Richardson,1439800
Rodney Hood,1406520
Marreese Speights,1403611
JaVale McGee,1403611
Michael Beasley,1403611
Rondae Hollis-Jefferson,1395600
Deyonta Davis,1369299
Nikola Jokic,1358500
Shabazz Napier,1350120
Willy Hernangomez,1350000
Guillermo Hernangomez,1350000
Tyus Jones,1339680
Sasha Kaun,1333240
Timothe Luwawu-Cabarrot,1326960
Clint Capela,1296240
Jarell Martin,1286160
Brice Johnson,1273920
Luke Babbitt,1227286
Jeremy Evans,1227286
Jordan Mickey,1223653
CJ Wilcox,1209600
Larry Nance Jr.,1207680
Pascal Siakam,1196040
Kyle Anderson,1192080
Josh Huestis,1191480
Chris McCullough,1191480
Livio Jean-Charles,1188840
Skal Labissiere,1188840
Kevon Looney,1182840
Dejounte Murray,1180080
Damian Jones,1171560
Isaiah Whitehead,1074145
Joe Young,1052342
Rakeem Christmas,1052342
Tony Wroten,1050961
John Jenkins,1050961
Chris Johnson,1050961
Glenn Robinson III,1050500
Montrezl Harrell,1045000
Ivica Zubac,1034956
Richaun Holmes,1025831
DeAndre Liggins,1015696
Justin Holiday,1015696
Mike Muscala,1015696
Anthony Bennett,1015696
Isaiah Canaan,1015696
Willie Reed,1015696
Edy Tavares,1000000
Terrence Jones,980431
Orlando Johnson,980431
JaMychal Green,980431
Jarnell Stokes,980431
Ty Lawson,980431
Elton Brand,980431
Brian Roberts,980431
Jerami Grant,980431
Henry Sims,980431
Nate Wolters,980431
Jordan Farmar,980431
Will Bynum,980431
Stephen Zimmerman,950000
Andrew Harrison,945000
Raul Neto,937800
Malcolm Brogdon,925000
Tyler Ulis,918369
Reggie Williams,895197
Xavier Munford,874636
Christian Wood,874636
J.J. O'Brien,874636
Pat Connaughton,874636
DJ Stephens,874636
D.J. Kennedy,874636
Casper Ware,874636
Norman Powell,874636
Nick Johnson,874636
Darrun Hilliard,874636
Alan Williams,874636
Grant Jerrett,874636
Travis Wear,874636
Duje Dukan,874636
Cliff Alexander,874636
RJ Hunter,864346
Paul Zipser,750000
Spencer Dinwiddie,726672
Bobby Brown,680534
AJ Hammons,650000
Georges Niang,650000
Michael Gbinije,650000
Jake Layman,600000
Joel Bolomboy,600000
Donatas Motiejunas,576724
E.J. Singler,543471
Drew Crawford,543471
Kay Felder,543471
Fred VanVleet,543471
Patrick McCaw,543471
Vince Hunter,543471
Kyle Wiltjer,543471
Kyle Collinsworth,543471
Brady Heslip,543471
Andrew Andrews,543471
Marcus Paige,543471
Rasheed Sulaimon,543471
Isaiah Cousins,543471
Zach Auguste,543471
Nick Zeisloft,543471
Nicolas Brussino,543471
Jonathan Holmes,543471
Sheldon Mac,543471
Jonathan Gibson,469943
Toney Douglas,379159
Joel Anthony,346034
Ryan Kelly,286785
Ronnie Price,276828
Deron Williams,259526
Isaiah Taylor,255000
Norris Cole,247991
Jose Calderon,247991
Lamar Patterson,246956
Andrew Bogut,242224
Matt Barnes,242224
Okaro White,210995
Yogi Ferrell,207798
Larry Sanders,207722
Jordan Crawford,173099
