,company name,channel id,channel title,playlist title,post time
24,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,You Know That Scene,11/7/18 18:43
25,Netflix US,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,She's Gotta Have It | Netflix,3/5/19 22:59
26,Netflix US,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,Music Inspired by the Film ROMA | Netflix,2/19/19 20:33
27,Netflix US,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,Russian Doll | Netflix,2/18/19 23:38
28,Netflix US,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,The Umbrella Academy | Netflix,2/15/19 17:28
29,Netflix US,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,YOU | Netflix,1/18/19 1:09
30,Sony Pictures,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,MISS BALA - In Theaters February 1st,1/24/19 22:10
31,Sony Pictures,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,ESCAPE ROOM,1/3/19 0:49
32,Sony Pictures,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,DOG'S WAY HOME,11/20/18 18:59
33,Sony Pictures,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,THE FRONT RUNNER,11/6/18 17:11
34,Sony Pictures,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,THE GIRL IN THE SPIDER'S WEB,10/12/18 16:20
35,Fox Searchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,FoxSearchlight,"TOLKIEN - In Theaters May 10, 2019",2/12/19 17:06
36,Fox Searchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,FoxSearchlight,Celebrating 25 Years of Fox Searchlight,1/8/19 18:19
37,Fox Searchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,FoxSearchlight,"THE AFTERMATH - In Theaters March 15, 2019",10/16/18 1:24
38,Fox Searchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,FoxSearchlight,THE FAVOURITE,7/9/18 6:49
39,Fox Searchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,FoxSearchlight,"THE OLD MAN & THE GUN - Now On Digital, Blu-ray & DVD",6/5/18 1:40
40,Marvel Studios,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment,Marvel Studios' Captain Marvel Red Carpet Interviews!,3/5/19 3:29
41,Marvel Studios,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment,Marvel Motion Comics: Season 1,2/10/19 6:46
42,Marvel Studios,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment,X-Men Evolution: Season 2,2/10/19 3:25
43,Marvel Studios,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment,X-Men Evolution: Season 1,2/10/19 3:25
44,Marvel Studios,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment,X-Men Evolution: Season 3,2/10/19 3:25
